art,standort,jahr,jahrgang,n,s,ca,na,k,mg,p,mn,TC
Buche,site_700,2015,1,18.9926547743966,1.26757607555089,10.6442812172088,0.0216998950682057,3.55299055613851,2.67681007345226,0.625183630640084,0.0134837355718783,529.695697796432
Buche,site_700,2015,1,17.3361522198731,1.16596194503171,19.7145877378436,0.0174735729386892,3.81289640591966,4.37632135306554,0.782029598308668,0.0164164904862579,505.285412262157
Buche,site_700,2016,1,20.8907741251326,1.51325556733828,13.0084835630965,0.0413679745493107,6.54931071049841,3.14209968186638,1.09363732767762,0.0472216330858961,506.7868504772
Buche,site_700,2016,1,20.3157894736842,1.40631578947368,12.6757894736842,0.0330631578947368,7.21578947368421,3.33578947368421,0.774210526315789,0.0277684210526316,507.684210526316
Buche,site_700,2016,1,22.962962962963,1.53333333333333,12.0084656084656,0.0319470899470899,4.42645502645503,3.36402116402116,0.786455026455026,0.015005291005291,515.978835978836
Buche,site_700,2016,1,19.8724760892667,1.30605738575983,17.807651434644,0.0338682252922423,4.7066950053135,4.85441020191286,0.846333687566419,0.0172369819341127,508.395324123273
Buche,site_700,2017,1,18.0952380952381,1.14814814814815,12.168253968254,0.0265714285714286,6.01375661375661,3.02962962962963,0.718941798941799,0.0274497354497354,502.433862433862
Buche,site_700,2017,1,19.5560253699789,1.40274841437632,12.5211416490486,0.0275475687103594,7.58033826638478,3.22938689217759,0.853594080338266,0.0423150105708245,495.243128964059
Buche,site_700,2017,1,22.2929936305732,1.46602972399151,12.6985138004246,0.0160191082802548,4.85244161358811,3.42144373673036,0.737791932059448,0.0138216560509554,507.112526539278
Buche,site_700,2017,1,18.6170212765957,1.11276595744681,19.3340425531915,0.0167872340425532,4.59042553191489,4.76595744680851,0.774042553191489,0.0208510638297872,485.63829787234
Buche,site_700,2018,1,,1.3972602739726,13.5742887249737,0.020231822971549,6.09905163329821,3.02845100105374,0.865648050579557,0.0488935721812434,541.622760800843
Buche,site_700,2018,1,17.4920969441517,1.30663856691254,18.3603793466807,0.0227608008429926,5.28556375131718,3.70495258166491,0.663013698630137,0.0367755532139094,531.085353003161
Buche,site_700,2018,1,22.3044397463002,1.37103594080338,13.431289640592,0.016384778012685,4.87737843551797,3.47780126849894,0.626744186046512,0.0144820295983087,538.054968287527
Buche,site_700,2018,1,19.3650793650794,1.3005291005291,,0.0171428571428571,4.07089947089947,,0.86994708994709,0.0162962962962963,523.809523809524
Buche,site_700,2019,1,18.8858695652174,1.28239966555184,15.6772575250836,0.0255016722408027,6.91576086956522,2.18959030100334,0.780727424749164,0.0379389632107023,540.342809364548
Buche,site_700,2019,1,22.7215719063545,1.25627090301003,13.1772575250836,0.0273829431438127,6.83423913043478,2.88357023411371,1.01902173913043,0.0458821070234114,542.433110367893
Buche,site_700,2019,1,23.7227805695142,1.33061139028476,12.4131072026801,0.0278475711892797,4.43048576214405,3.27051926298158,0.77784757118928,0.016750418760469,
Buche,site_700,2019,1,19.7984463573378,1.1988242704178,14.6178878857863,0.0271887465882847,6.6124291412975,3.16187276926307,0.899643082091119,0.0149065714885576,
Buche,site_700,2020,1,19.7544046983449,1.71489588894821,17.7832354511479,0.0320341697810998,4.62039508809397,,1.06994127068873,0.0528563801388147,536.038441003737
Buche,site_700,2020,1,16.7110164981373,1.69771154869611,,0.0382118147951038,4.26290580095796,4.88557743480575,0.714209686003193,0.0375731772219266,522.618414050027
Buche,site_700,2020,1,19.4465220643231,1.47772197884389,18.3705524094455,0.0356875734587029,5.14157495458917,,0.869751041777968,0.0169889945506999,538.519072550486
Buche,site_700,2020,1,16.3934426229508,1.44347455822866,,0.0369384713647009,3.78326591441346,,0.730253353204173,0.0146902278049819,523.738556525442
Buche,site_700,2021,1,20.2553011921089,1.39149699335373,16.7908007173753,0.0258466082920139,5.83816858318388,3.62063508808946,0.966346661040194,0.0539086401519148,
Buche,site_700,2021,1,20.3586497890295,1.41033755274262,17.1002109704641,0.020042194092827,5.76476793248945,3.71518987341772,0.860759493670886,0.0437763713080169,531.645569620253
Buche,site_700,2021,1,19.9321458863444,1.29134860050891,12.4321458863444,0.0152671755725191,7.02290076335878,3.41391009329941,0.703986429177269,0.011980491942324,
Buche,site_700,2021,1,19.9556541019956,1.31242740998839,,0.019533312216239,5.28666455495724,4.18012881427516,0.751768556646605,0.0272410516312955,530.039066624433
Buche,site_2900,2011,1,22.2080544044204,1.58644139836362,17.4519179683349,0.0322388694081394,4.93571352672405,3.75836786738923,0.839443204760387,,503.665922856232
Buche,site_2900,2011,1,25.3392705682782,1.57760814249364,8.20080576759966,0.0292408821034775,8.06297709923664,1.84054283290925,0.934054283290925,0.101569126378287,503.604749787956
Buche,site_2900,2014,1,21.4953271028037,1.35617860851506,12.4942886812046,0.0127933541017653,5.43198338525441,2.57840083073728,0.860539979231568,,488.058151609553
Buche,site_2900,2014,1,21.7078189300411,1.4537037037037,8.54320987654321,0.0174794238683128,6.75205761316872,1.96810699588477,0.973148148148148,0.123559670781893,490.432098765432
Buche,site_2900,2015,1,20.9129511677282,1.27494692144374,12.6295116772824,0.0292144373673036,7.85668789808917,2.4203821656051,0.678131634819533,,510.72186836518
Buche,site_2900,2015,1,19.3446088794926,1.23044397463002,6.46934460887949,0.0202114164904863,7.18710359408034,1.28646934460888,0.790274841437632,0.0679915433403805,519.873150105708
Buche,site_2900,2016,1,20.7627118644068,1.65995762711864,15.6800847457627,0.0379555084745763,6.65254237288135,4.17266949152542,1.02775423728814,,514.194915254237
Buche,site_2900,2016,1,24.6822033898305,1.58050847457627,13.1896186440678,0.0285275423728814,6.09533898305085,3.16419491525424,1.06302966101695,0.123167372881356,494.067796610169
Buche,site_2900,2017,1,25.0793650793651,1.8021164021164,16.1555555555556,0.0167301587301587,5.00634920634921,3.79153439153439,0.863174603174603,,507.724867724868
Buche,site_2900,2017,1,23.8743455497382,1.60628272251309,7.63664921465969,0.0233926701570681,6.59581151832461,2.34973821989529,0.953612565445026,0.0653717277486911,
Buche,site_2900,2018,1,,1.75184016824395,14.5720294426919,0.0180862250262881,6.20504731861199,2.62355415352261,0.769610935856993,,534.174553101998
Buche,site_2900,2018,1,,1.84210526315789,9.90736842105263,0.0245263157894737,7.73789473684211,2.54210526315789,1.01442105263158,0.094,524.210526315789
Buche,site_2900,2019,1,24.2625368731563,1.60450906026127,15.5004214075011,0.0207543194268858,7.24083438685209,2.81605562579014,0.774336283185841,,
Buche,site_2900,2019,1,19.7922132437821,1.41253017105677,6.79084898730192,0.0192045335292266,8.42795676356386,1.60772379053416,0.825899884562913,0.0802812467205373,
Buche,site_2900,2020,1,19.7207120776037,1.67252958106812,,0.0333653128664322,5.56443875919412,5.02611661869737,0.746189105639058,,532.992218313613
Buche,site_2900,2020,1,19.3107863010776,1.56193321241865,12.9809025925531,0.0270991144777552,6.38749599914648,3.3639176357623,0.790568654646325,,539.848501013549
Buche,site_2900,2021,1,25.0368188512518,1.64422470018935,14.5665895224069,0.0138859667578372,6.96191878813381,2.26067746686303,0.835261939827477,,
Buche,site_2900,2021,1,25.8838383838384,1.60248316498316,8.36700336700337,0.0151515151515152,8.31860269360269,1.28893097643098,0.899621212121212,0.0738636363636364,538.720538720539
Fichte,site_300,1992,1,10.5943426210404,0.953490835893633,6.93293781120881,,3.36900095349084,1.75548257230639,1.05943426210404,0.369742557474309,529.717131052018
Fichte,site_300,1992,1,12.5997480050399,,5.79063418731625,0.0115497690046199,5.07454850902982,1.72406551868963,1.07517849643007,0.425241495170097,521.839563208736
Fichte,site_300,1992,1,11.6785221361079,1.06168383055526,6.80964008918144,,5.00796262872916,1.84732986516615,1.18377747106912,0.357787450897123,538.273702091517
Fichte,site_300,1992,1,10.4690117252931,,6.89384422110553,0.0177973199329983,5.48052763819096,1.76612227805695,0.918132328308208,0.630234505862647,515.075376884422
Fichte,site_300,1992,1,11.596036263968,1.05418511490618,6.44212523719165,,,1.49483449293696,1.08686485346827,0.365802234872444,528.146742567995
Fichte,site_300,1992,1,12.6542233470421,,5.92323104502794,0.0105451861225351,5.26099335653274,2.12907307813983,1.08088157755984,0.390171886533797,518.823157228725
Fichte,site_300,1993,1,13.8859218115787,0.854518265327921,5.27878658406323,0.00534073915829951,2.51548814355907,1.96432386242256,1.10425122837001,0.153065584276864,521.256141850032
Fichte,site_300,1993,1,12.7931769722814,0.959488272921109,5.28144989339019,0.00533049040511727,3.91471215351812,1.73454157782516,1.17484008528785,0.373550106609808,519.189765458422
Fichte,site_300,1993,1,13.9216106232598,0.856714499892911,6.50674662668666,0.00535446562433069,4.76440351252945,1.72949239665881,1.13236239023345,0.494506318269437,511.886913686014
Fichte,site_300,1993,1,12.7959053103007,0.853060354020047,5.25485178076349,0.00533162721262529,4.0808274685434,1.61335039454041,1.06035402004692,0.518820644060567,485.178076348902
Fichte,site_300,1993,1,13.8977977335899,1.0690613641223,4.70493906350224,0.0112251443232842,4.8032927090015,1.64956168484071,1.37630960017105,0.229377806286081,521.701945691683
Fichte,site_300,1993,1,14.9989286479537,1.07135204628241,5.66745232483394,0.0162845511034926,5.46068137990144,2.04735376044568,1.27126633811871,0.353214056138847,515.320334261838
Fichte,site_300,1994,1,13.8150903294368,0.850159404888417,4.05207226354942,0.0137300743889479,4.16046758767269,1.8182784272051,1.02337938363443,0.154091392136026,509.139213602551
Fichte,site_300,1994,1,12.7253446447508,1.06044538706257,3.93425238600212,0.0146765641569459,5.01378579003181,1.71686108165429,1.08907741251326,0.241781548250265,512.407211028632
Fichte,site_300,1994,1,12.8617363344051,0.7502679528403,4.92818863879957,0.00838156484458735,6.57020364415863,1.62915326902465,1.09324758842444,0.262593783494105,506.109324758842
